,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
234,Tiksi,RU,44.1,clear sky,71.69,128.87,Arktika
235,Cabedelo,BR,77.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
236,Hualmay,PE,62.4,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
237,Constitucion,CL,49.35,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
238,Souillac,MU,69.8,broken clouds,-20.52,57.52,Bils' Villa
239,Puerto Ayora,EC,65.91,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
240,Rio Verde De Mato Grosso,BR,83.03,clear sky,-18.92,-54.84,Hotel Valência
241,Paso De Ovejas,MX,89.6,scattered clouds,19.28,-96.43,Hotel Los Arcos 2
242,Laibin,CN,79.61,broken clouds,23.7,109.27,Laibin Hotel
243,Seoul,KR,77.0,mist,37.57,126.98,LOTTE HOTEL SEOUL
244,Clyde River,CA,48.2,clear sky,70.47,-68.59,Qamaq Hotel
245,Walvis Bay,,52.0,clear sky,-22.96,14.51,Oyster Box Guesthouse
246,Fort-Shevchenko,KZ,74.23,clear sky,44.51,50.26,Oasis hotel Bautino
247,Santa Rosa,PH,84.99,light rain,14.31,121.11,Amethyst Econotel
248,Qaanaaq,GL,33.85,clear sky,77.48,-69.36,Qaanaaq Hotel
249,Port Macquarie,AU,63.0,clear sky,-31.43,152.92,Rydges Port Macquarie
250,Namwala,ZM,68.88,clear sky,-15.75,26.44,Corner Point Lodge
251,Mogadishu,SO,77.5,light rain,2.04,45.34,Hotel Juba
252,Yeola,IN,72.43,light rain,20.03,74.48,Prakash Watch
253,Lincoln,US,81.0,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
254,Yar-Sale,RU,39.76,broken clouds,66.83,70.83,Yalemd
255,Ahipara,NZ,61.36,clear sky,-35.17,173.17,Ahipara Holiday Park
256,Marondera,ZW,60.82,clear sky,-18.19,31.55,HopeFay Conference Centre
257,Bud,US,78.01,scattered clouds,39.45,-86.18,Madsion Scouts Camp
258,Saint-Augustin,CA,58.39,broken clouds,51.23,-58.65,
259,Plymouth,US,73.99,overcast clouds,41.83,-70.83,Rodeway Inn Middleboro-Plymouth
260,Itarema,BR,78.84,clear sky,-2.92,-39.92,Windvillage
261,Grindavik,IS,51.8,light intensity drizzle,63.84,-22.43,Northern Light Inn & Max's Restaurant
262,Andenes,NO,46.4,light rain,69.31,16.12,Hotell Marena
263,Bayangol,RU,46.58,broken clouds,50.7,103.47,
264,Ryzdvyanyy,RU,66.2,clear sky,45.27,41.84,
265,Tete,MZ,73.4,broken clouds,-16.16,33.59,Zambeze Paraíso Misterioso
266,San Andres,CO,78.8,overcast clouds,12.58,-81.7,Hotel Arena Blanca
267,Zhigansk,RU,55.26,overcast clouds,66.77,123.37,Gostinichnyy Kompleks Aylgy
268,Kerema,PG,80.6,few clouds,-7.96,145.78,Elore Lodge
269,Kokopo,PG,83.62,scattered clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
270,Jalpan,MX,85.17,light rain,21.23,-99.48,Hotel Mision Jalpan
271,Oxelosund,SE,55.4,broken clouds,58.67,17.1,First Hotel Oxelösund
272,Bethel,US,78.8,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
273,Guasdualito,VE,78.08,clear sky,7.24,-70.73,Hotel Cuibas
274,Hamilton,US,82.99,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
275,Sekoma,BW,47.37,few clouds,-24.4,23.88,
276,Nouadhibou,MR,73.4,clear sky,20.93,-17.03,El Medina
277,Ust-Maya,RU,53.13,overcast clouds,60.42,134.53,
278,Ucluelet,CA,64.4,few clouds,48.93,-125.55,Black Rock Oceanfront Resort
279,Sao Filipe,CV,79.68,broken clouds,14.9,-24.5,Tortuga B&B
280,Broome,US,75.2,clear sky,42.25,-75.83,Chenango Valley State Park
281,Broken Hill,AU,62.6,broken clouds,-31.95,141.43,Daydream Motel & Cottages
282,Jacqueville,CI,77.0,broken clouds,5.21,-4.41,Hotel Le Martin Pecheur
283,Asau,RO,64.0,clear sky,46.43,26.4,Casa Mika Ciobanus
284,Eurajoki,FI,55.4,overcast clouds,61.2,21.73,
285,Nanning,CN,77.0,broken clouds,22.82,108.32,Nanning Travelling With Hostel
286,Scarborough,GB,53.01,overcast clouds,54.28,-0.4,Ambassador
287,Moose Factory,CA,55.4,overcast clouds,51.26,-80.61,Cree Village Eco Lodge
288,Klaksvik,FO,46.4,overcast clouds,62.23,-6.59,Geilin Bed & Breakfast
289,Petropavlovsk-Kamchatskiy,RU,50.0,overcast clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
291,Andilamena,MG,58.12,broken clouds,-17.02,48.58,Magic Hotel Restaurant
292,Nevinnomyssk,RU,64.0,clear sky,44.63,41.95,NevHotel
293,Acari,PE,63.12,broken clouds,-15.43,-74.62,Hospedaje Ximens
294,Codrington,AU,56.71,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
295,Diffa,NE,77.85,overcast clouds,13.32,12.61,ProDAF/Diffa
296,Rincon,US,87.8,broken clouds,32.3,-81.24,Bent tree subdivision
297,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
299,Solnechnyy,RU,55.54,overcast clouds,50.72,136.63,Hotel complex Pastoral
300,Wuxue,CN,75.4,clear sky,29.85,115.55,Wuxue Station Hostel
301,Half Moon Bay,US,75.0,smoke,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
302,Arteaga,MX,69.6,light rain,18.47,-102.42,
303,Manokwari,ID,78.22,light rain,-0.87,134.08,Swiss Belhotel Manokwari
304,Palmeirais,BR,85.19,broken clouds,-5.98,-43.06,Pousada LS
